Axis,NAME,12,11,10,9,8,7,6,5,4,3,2,1,0
length,station,0-0-0,1-0-0,2-0-0,3-0-0,4-0-0,5-0-0,6-0-0,7-0-0,8-0-0,9-0-0,10-0-0,10-9-0,11-6-0
Height,Gunwale,0-7-6,0-9-4,0-10-7,0-11-6,1-0-1,1-0-1,0-11-4,0-10-4,0-9-1,0-7-3,0-5-1,0-3-2,0-1-0
,chine,1-4-1,1-5-5,1-7-0,1-8-0,1-8-6,1-9-0,1-8-5,1-7-6,1-6-2,1-3-7,1-0-7,0-10-2,0-2-0
,bottom,1-9-0,1-11-2,2-1-2,2-2-6,2-3-5,2-4-0,2-3-7,2-3-2,2-2-1,2-0-5,1-9-4,1-4-2,0-3-0
Width,Gunwale,1-3-7,1-6-2,1-8-3,1-10-2,1-11-5,2-0-1,1-11-5,1-10-1,1-7-3,1-3-4,0-10-2,0-5-5,0-0-4
,chine,1-1-3,1-3-6,1-6-0,1-7-7,1-9-0,1-9-4,1-9-0,1-7-3,1-4-6,1-0-7,0-8-0,0-3-5,0-0-4
,bottom,0-6-0,0-7-5,0-9-0,0-10-2,0-10-7,0-11-2,0-10-5,0-9-2,0-7-0,0-4-1,0-0-6,0-0-2,0-0-1
